Pittsburgh Building,1,424,1184
West Hall,2,422,1120
Carnegie Building,3,444,1260
Walker Laboratory,4,495,1205
Boiler House at Sage Avenue,5,552,1155
Russell Sage Laboratory,6,561,1188
Troy Building,7,660,1149
North Hall,8,710,1093
E Complex,9,762,1078
Ricketts Building,10,728,1149
87 Gymnasium,11,816,1152
Quadrangle Complex,12,890,1138
Russell Sage Dining Hall,13,878,1257
CII,14,847,1317
Playhouse,15,894,1318
DCC,17,804,1340
Engineering Center,18,703,1317
Science Center,19,721,1414
Cogswell Laboratory,20,668,1491
MRC,21,548,1481
VCC,22,604,1377
Folsom Library,23,525,1377
Greene Building,24,629,1276
Lally Hall,25,566,1276
Amos Eaton Hall,26,508,1275
41 Ninth Street,27,429,1008
Service Building,28,584,952
Blaw-Knox 1 & 2,29,607,1029
J Building,30,663,898
H Building,31,735,948
Alumni House,32,815,899
2021 Peoples Avenue,33,918,889
Admissions,34,1088,1127
Rensselaer Union,35,1011,1210
Public Safety,36,995,1285
Alumni Sports & Recreation Center,37,1021,1379
Robison Swimming Pool,38,980,1448
Commons Dining Hall,39,1246,1363
Crockett Hall,40,1325,1334
Nason Hall,41,1325,1434
Davison Hall,42,1278,1473
Sharp Hall,43,1244,1499
Nugent Hall,44,1212,1472
Warren Hall,45,1167,1432
Hall Hall,46,1167,1333
Cary Hall,47,1213,1290
Bray Hall,48,1279,1290
Chapel and Cultural Center,49,1329,934
Burdett Avenue Residence Hall,50,1440,999
2144 Burdett Avenue,51,1404,890
Field House Houston,52,1560,841
Rensselaer Apartment Housing Project RAHP A Site,53,1665,1027
200 Sunset Terrace,54,1807,971
Seismograph Laboratory,55,1855,892
Greenhouses and Grounds Barn,57,1772,1182
LINAC Facility,58,1959,1225
Stacwyck Apartments,59,1913,568
Radio Club,60,2048,507
Bryckwyck,61,1974,399
Rensselaer Apartment Housing Project RAHP B Site,62,1886,463
Patroon Manor,65,1927,210
Colonie Apartments,66,1426,289
Academy Hall,67,894,1530
Empire State Hall,68,613,1485
Beman Park Firehouse,69,886,898
133 Sunset Terrace,71,1693,1178
Mueller Center,72,1017,1342
Barton Hall,73,1244,1264
CBIS,74,900,1431
Parking Garage,75,645,1540
EMPAC,76,426,1453
Boiler House at 11th Street,77,648,961
Winslow Building,78,345,1226
Louis Rubin Memorial Approach,79,336,1275
Java++ Cafe,80,930,1615
RPI Ambulance,81,738,1607
Blitman Residence Commons,85,204,1228
Polytechnic Residence Commons,86,948,1820
East Campus Athletic Village Arena,89,1728,785
East Campus Athletic Village Stadium,90,1690,691
OGE,91,1001,886
,93,366,1285
,94,370,1199
,95,366,1120
,96,525,1039
,97,452,973
,98,956,1585
,99,739,1569
,100,905,1582
,101,1134,1579
,102,950,1521
,103,1100,1344
,104,1102,1273
,105,1032,1125
,106,946,1215
,107,520,1182
,108,944,1124
,109,1368,984
,110,1281,931
,111,1278,847
,112,948,855
,113,1372,847
,114,1369,365
,115,1858,363
,116,1677,364
,117,1138,853
,118,1226,1053
,119,1139,1167
,120,1137,941
,121,1246,1319
,122,1216,1413
,123,1269,1413
,124,1367,1240
,125,1186,1522
,126,1551,921
,127,1740,888
,128,1638,900
,129,451,843
,130,473,1135
,131,572,1101
,132,672,1122
,133,622,1212
,134,584,1262
,135,697,1458
,136,665,1458
,137,753,1464
,138,765,1366
,139,942,1479
,140,944,1381
,141,877,1290
,142,769,1292
,143,864,1396